#COL    LINE    RMAG     FLUX      SKY   N  RMOM ELLIP    PA     PEAK GFWHM
 197.00  192.25   13.99  25358.0  7306.00   2  0.92 1.000  90.0 13194.22  3.63
 197.08  192.38   12.27 123741.0  7319.00  13  2.23 0.110 -72.5 13433.44  4.09
 197.02  192.21   11.89 175797.0  7319.00  29  2.93 0.076 -72.4 13392.68  3.86
 197.02  192.28   11.80 191235.0  7319.00  49  3.24 0.052 -68.3 13492.28  3.76
 197.06  192.32   11.78 193698.0  7345.00  78  3.34 0.100 -73.7 13531.96  3.72
 197.05  192.34   11.78 194364.0  7358.00 112  3.41 0.129  89.9 13566.42  3.70
 197.04  192.36   11.78 194835.0  7358.00 155  3.46 0.191  80.4 13589.78  3.69
 197.02  192.36   11.76 197913.0  7358.00 199  3.78 0.207  89.5 13588.15  3.69
 197.00  192.39   11.75 199914.0  7365.00 254  4.12 0.140 -77.5 13599.65  3.68
 197.00  192.39   11.74 200453.0  7358.00 310  4.06 0.166 -76.7 13606.82  3.69
