           0.       3.69541         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF      111.7566         INDEF      113.9538         INDEF    -0.7802438         INDEF         INDEF            0.     -1.419157         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF
    0.5019462       3.30377    0.01405469    0.07166512    0.05067489      0.414739    0.07023594      89.94633      6.321706      111.7566     0.0301287      113.9538    0.01819551    -0.7965696     0.4469516     0.5610955     0.8417135     -1.297524   0.004628707   0.004609147       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02380013    0.02516215      0.153827    0.08873059   -0.01835143    0.02164809   -0.02457247    0.02293194          13           0          10           0   2.977900E-6            2.
    0.5069657      3.300089    0.01417248    0.07226574    0.05109959     0.4148742    0.07016781       89.9416      6.314054      111.7542     0.0304075      113.9533    0.01835964    -0.7958405     0.4462518     0.5607302       0.84381     -1.296314    0.00467279   0.004652867       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02370814    0.02513768     0.1536945    0.08860566   -0.01834189     0.0216401   -0.02467137    0.02295794          13           0          10           0   3.093983E-6            2.
    0.5120354      3.296366    0.01428933    0.07286159    0.05152093     0.4149835    0.07010459      89.93777      6.307139      111.7517    0.03068964      113.9528    0.01852653     -0.795085     0.4455012     0.5603189     0.8459116     -1.295089   0.004716829   0.004696319       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02363404    0.02511723     0.1535649     0.0884753   -0.01834249    0.02163299    -0.0247668    0.02298086          13           0          10           0   5.895944E-6            2.
    0.5171557      3.292616    0.01440905    0.07347204    0.05195257     0.4151064    0.07003885       89.9344      6.299847      111.7491    0.03097397      113.9523    0.01869425    -0.7942895     0.4447472     0.5599308     0.8480185     -1.293853   0.004761811   0.004740993       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02355787    0.02509801      0.153431    0.08834657   -0.01834179    0.02162658    -0.0248695    0.02300734          13           0          10           0   2.743439E-6            2.
    0.5223272      3.288828     0.0145272    0.07407445    0.05237855     0.4152225    0.06997187       89.9306      6.292523      111.7465    0.03125999      113.9518    0.01886314    -0.7935232     0.4439936     0.5595219     0.8501306     -1.292603   0.004806418   0.004785255       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02347204    0.02507528     0.1532941    0.08821303   -0.01833938    0.02161996   -0.02496414    0.02303115          13           0          10           0   2.749820E-6            2.
    0.5275505      3.285012    0.01464767    0.07468875    0.05281292     0.4153502    0.06990579       89.9268      6.285154       111.744    0.03154966      113.9514    0.01903378    -0.7927393       0.44323     0.5591119     0.8522481     -1.291343    0.00485213   0.004830432       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02338537    0.02505363     0.1531614    0.08808213   -0.01833802    0.02161358   -0.02506945    0.02305856          13           0          10           0   4.554795E-6            2.
     0.532826      3.281166    0.01476686    0.07529651    0.05324267     0.4154812    0.06983631      89.92341      6.277446      111.7413    0.03184063      113.9509    0.01920501    -0.7919692     0.4424375     0.5586549     0.8543707      -1.29007    0.00489744   0.004875368       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02330497    0.02503088     0.1530234     0.0879408   -0.01833698    0.02160429   -0.02517135    0.02308186          13           0          10           0   4.053844E-6            2.
    0.5381542       3.27728    0.01488886    0.07591859    0.05368255     0.4156037    0.06976495      89.91946      6.269669      111.7387     0.0321329      113.9504    0.01937724    -0.7911589     0.4416855     0.5582767     0.8564987     -1.288784   0.004943812   0.004921309       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02322546    0.02501157     0.1528743    0.08780581   -0.01833714    0.02159877   -0.02526932    0.02310744          13           0          10           0   4.382305E-6            2.
    0.5435358      3.273355    0.01501164    0.07654466    0.05412525     0.4157118    0.06969894      89.91541      6.262534       111.736    0.03242952      113.9498     0.0195525    -0.7903703     0.4409277     0.5578749     0.8586319     -1.287483   0.004990587   0.004967818       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02314539    0.02499085     0.1527364    0.08767328   -0.01833647    0.02159059   -0.02537526    0.02313346          13           0          10           0   1.472313E-6            2.
    0.5489711      3.269404    0.01513208    0.07715875    0.05455947     0.4158427    0.06962682       89.9117      6.254602      111.7333    0.03272725      113.9493     0.0197276    -0.7895588     0.4401192     0.5574242     0.8607705     -1.286172   0.005036937    0.00501363       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02306325      0.024969     0.1525899    0.08752891   -0.01833205    0.02158165   -0.02547717    0.02315792          13           0          10           0   1.753978E-6            2.
